Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
12/9/24,12:54,2024,Monday,1446372,240762226,Assault,Simple Assault,Battery,24TH AVE \ RIVERA ST,Taraval,Sunset/Parkside,37.74654388,-122.481308
12/26/24,21:00,2024,Thursday,1458390,250058877,Assault,Simple Assault,Battery,26TH ST \ LILAC ST,Mission,Mission,37.74907684,-122.4175644
12/18/24,11:39,2024,Wednesday,1448348,240778778,Assault,Simple Assault,Battery,04TH ST \ CHANNEL ST,Southern,Mission Bay,37.77432632,-122.3916321
12/1/24,0:00,2024,Sunday,1468154,250140656,Assault,Simple Assault,False Imprisonment,07TH ST \ BRYANT ST,Southern,South of Market,37.77428055,-122.404747
4/8/24,16:15,2024,Monday,1474895,250197845,Assault,Simple Assault,Battery,SILVER AVE \ WATERVILLE ST,Bayview,Bayview Hunters Point,37.73419189,-122.4026642
4/1/24,0:30,2024,Monday,1487037,249001005,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",ARGUELLO BLVD \ CARL ST,Park,Inner Sunset,37.76480865,-122.4577179
1/5/24,1:40,2024,Friday,1353176,240009551,Assault,Simple Assault,Battery,BUCHANAN ST \ MOULTON ST,Northern,Marina,37.79983902,-122.4326782
1/6/24,16:55,2024,Saturday,1353832,240013665,Assault,Simple Assault,Battery,OFARRELL ST \ POWELL ST,Central,Tenderloin,37.78641129,-122.4080353
1/22/24,17:00,2024,Monday,1358332,240048286,Assault,Simple Assault,Battery,07TH ST \ BRYANT ST,Southern,South of Market,37.77428055,-122.404747
2/14/24,18:51,2024,Wednesday,1364759,240100234,Assault,Simple Assault,Battery,SUTTER ST \ TAYLOR ST,Central,Nob Hill,37.78880692,-122.4118881
1/9/24,20:20,2024,Tuesday,1354828,240020046,Assault,Simple Assault,Battery,GOLDEN GATE AVE \ LAGUNA ST,Northern,Western Addition,37.78019333,-122.4270172
1/27/24,0:50,2024,Saturday,1359590,240058702,Assault,Simple Assault,Battery,16TH ST \ VALENCIA ST,Mission,Mission,37.76491928,-122.4218903
2/16/24,16:42,2024,Friday,1365238,240104662,Assault,Simple Assault,Battery,POWELL ST \ SACRAMENTO ST,Central,Nob Hill,37.79297256,-122.4093628
1/17/24,21:40,2024,Wednesday,1357074,240037988,Assault,Simple Assault,Battery,04TH ST \ KING ST,Southern,Mission Bay,37.77633286,-122.3940353
1/27/24,8:27,2024,Saturday,1359656,240059142,Assault,Simple Assault,"Battery, Sexual",POLK ST \ POST ST,Northern,Tenderloin,37.78682709,-122.4199295
1/25/24,9:57,2024,Thursday,1359082,240054158,Assault,Simple Assault,Battery,EDDY ST \ JONES ST,Tenderloin,Tenderloin,37.78393173,-122.4125977
1/16/24,3:15,2024,Tuesday,1356528,240033889,Assault,Simple Assault,False Imprisonment,BAY ST \ HYDE ST,Central,Russian Hill,37.8047905,-122.4201813
2/9/24,16:10,2024,Friday,1363243,240088561,Assault,Simple Assault,Battery,HYDE ST \ SUTTER ST,Central,Nob Hill,37.78817749,-122.4168243
3/26/24,16:00,2024,Tuesday,1376922,240193405,Assault,Simple Assault,False Imprisonment,18TH ST \ GUERRERO ST,Mission,Mission,37.76156616,-122.4237976
3/10/24,22:09,2024,Sunday,1371837,240156782,Assault,Simple Assault,Battery,03RD ST \ TOWNSEND ST,Southern,Mission Bay,37.77885056,-122.3927536
1/15/24,18:21,2024,Monday,1356856,240034865,Assault,Simple Assault,Battery,ALEMANY BLVD \ ROUSSEAU ST,Ingleside,Outer Mission,37.73104095,-122.4295731
1/21/24,19:00,2024,Sunday,1358067,240046092,Assault,Simple Assault,Battery,EDDY ST \ MASON ST,Tenderloin,Tenderloin,37.78434753,-122.4093094
1/12/24,14:00,2024,Friday,1357550,240041650,Assault,Simple Assault,Battery,MANSELL ST \ VISITACION AVE,Ingleside,McLaren Park,37.71875381,-122.4116745
2/16/24,13:41,2024,Friday,1365198,240104145,Assault,Simple Assault,Battery,04TH ST \ FREELON ST,Southern,South of Market,37.77875137,-122.3970642
2/6/24,20:45,2024,Tuesday,1362379,240081894,Assault,Simple Assault,Battery,HERMANN ST \ LAGUNA ST,Park,Hayes Valley,37.77087021,-122.4251328
1/8/24,3:00,2024,Monday,1369304,240136900,Malicious Mischief,Other,"Phone Calls, Harassing",JONES ST \ VALLEJO ST,Central,Nob Hill,37.79774857,-122.4153824
3/19/24,3:03,2024,Tuesday,1374534,240175209,Assault,Simple Assault,Battery,12TH ST \ ISIS ST,Southern,Mission,37.77061081,-122.4143448
2/21/24,14:44,2024,Wednesday,1366618,240115001,Assault,Simple Assault,Battery,23RD ST \ MISSION ST,Mission,Mission,37.75383759,-122.4185944
3/12/24,2:15,2024,Tuesday,1374648,240175895,Assault,Simple Assault,False Imprisonment,LARKIN ST \ POST ST,Central,Tenderloin,37.7870369,-122.4182739
3/14/24,20:10,2024,Thursday,1373324,240165880,Assault,Simple Assault,Battery,BAY ST \ MASON ST,Central,North Beach,37.80561829,-122.4136047
3/7/24,0:05,2024,Thursday,1370606,240148400,Assault,Simple Assault,Battery,24TH AVE \ GEARY BLVD,Richmond,Outer Richmond,37.78014374,-122.4836655
3/2/24,21:42,2024,Saturday,1369579,240139346,Assault,Simple Assault,Battery,OFARRELL ST \ VAN NESS AVE,Northern,Tenderloin,37.78475189,-122.421196
3/7/24,12:30,2024,Thursday,1370767,240149317,Assault,Simple Assault,Battery,10TH ST \ HARRISON ST,Southern,South of Market,37.77157974,-122.4112778
3/5/24,19:00,2024,Tuesday,1370712,240149066,Assault,Simple Assault,Battery,22ND ST \ POTRERO AVE,Mission,Mission,37.75683212,-122.4067001
3/12/24,16:00,2024,Tuesday,1372625,240160692,Assault,Simple Assault,Battery,BAY SHORE BLVD \ MARENGO ST,Bayview,Bayview Hunters Point,37.73845673,-122.4069138
4/22/24,4:50,2024,Monday,1384257,240251439,Assault,Simple Assault,Battery,LOMBARD ST \ OCTAVIA ST,Northern,Marina,37.80067825,-122.4294739
3/1/24,11:20,2024,Friday,1369281,240136518,Assault,Simple Assault,Battery,LARKIN ST \ OFARRELL ST,Tenderloin,Tenderloin,37.78516769,-122.4179001
3/16/24,18:48,2024,Saturday,1373966,240170287,Assault,Simple Assault,Battery,SUTTER ST \ VAN NESS AVE,Northern,Nob Hill,37.78754807,-122.4217606
4/26/24,10:45,2024,Friday,1385550,240262721,Assault,Simple Assault,Battery,PIERCE ST \ TURK ST,Northern,Western Addition,37.78007889,-122.4354248
2/19/24,13:40,2024,Monday,1365948,240110465,Assault,Simple Assault,Battery,LOMBARD ST \ OCTAVIA ST,Northern,Marina,37.80067825,-122.4294739
4/24/24,11:16,2024,Wednesday,1384917,240257067,Assault,Simple Assault,Battery,FILLMORE ST \ HERMANN ST,Park,Hayes Valley,37.7702446,-122.4300766
4/21/24,9:48,2024,Sunday,1385276,240260101,Assault,Simple Assault,Battery,BAKER ST \ BUENA VISTA AVE \ HAIGHT ST,Park,Haight Ashbury,37.77084732,-122.440361
4/21/24,1:55,2024,Sunday,1384022,240249371,Assault,Simple Assault,Battery,BROADWAY \ STOCKTON ST,Central,Chinatown,37.7976265,-122.4086151
4/20/24,17:27,2024,Saturday,1383963,240248533,Assault,Simple Assault,Battery,FELTON ST \ HOLYOKE ST,Bayview,Portola,37.72874451,-122.4095306
4/14/24,15:00,2024,Sunday,1382201,240233835,Assault,Simple Assault,Battery,KEARNY ST \ MERCHANT ST,Central,Chinatown,37.79486084,-122.4048767
4/24/24,19:00,2024,Wednesday,1385116,240259091,Assault,Simple Assault,Battery,16TH ST \ POTRERO AVE,Mission,Mission,37.7657814,-122.4075317
5/5/24,6:55,2024,Sunday,1387911,240282575,Assault,Simple Assault,Battery,16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
4/24/24,14:20,2024,Wednesday,1385027,240257976,Assault,Simple Assault,Battery,EUCALYPTUS DR \ FOREST VIEW DR,Taraval,Lakeshore,37.7310791,-122.4835434
4/4/24,7:44,2024,Thursday,1379483,240211819,Assault,Simple Assault,Battery,08TH AVE \ IRVING ST,Taraval,Inner Sunset,37.76408386,-122.4652481
6/11/24,8:00,2024,Tuesday,1397750,240365228,Assault,Simple Assault,Battery,OCTAVIA ST \ SUTTER ST,Northern,Japantown,37.78692627,-122.4266663
4/26/24,13:30,2024,Friday,1385606,240263177,Assault,Simple Assault,Battery,22ND ST \ MISSION ST,Mission,Mission,37.75543594,-122.4187469
5/10/24,11:30,2024,Friday,1389346,240294536,Assault,Simple Assault,Battery,CAMBRIDGE ST \ WAYLAND ST,Ingleside,McLaren Park,37.7228241,-122.4169159
5/30/24,15:30,2024,Thursday,1394822,240339386,Assault,Simple Assault,Battery,FALMOUTH ST \ FOLSOM ST,Southern,South of Market,37.77944183,-122.4044342
5/27/24,14:50,2024,Monday,1393872,240332227,Assault,Simple Assault,Battery,CALIFORNIA ST \ HYDE ST,Central,Nob Hill,37.79097366,-122.4173889
5/28/24,21:26,2024,Tuesday,1394262,240335475,Assault,Simple Assault,Battery,05TH ST \ BLUXOME ST,Southern,Mission Bay,37.77593994,-122.3979721
5/10/24,18:00,2024,Friday,1390559,240305462,Assault,Simple Assault,Battery,19TH ST \ VALENCIA ST,Mission,Mission,37.76010132,-122.4214249
5/25/24,12:05,2024,Saturday,1393341,240327927,Assault,Simple Assault,Battery,09TH TI ST \ AVENUE B,Southern,Treasure Island,37.82317352,-122.3749084
5/12/24,15:30,2024,Sunday,1389837,240299025,Assault,Simple Assault,Battery,DODGE ST \ TURK ST,Tenderloin,Tenderloin,37.78242111,-122.4169846
6/12/24,16:15,2024,Wednesday,1398175,240368501,Assault,Simple Assault,Battery,10TH TI ST \ AVENUE M,Southern,Treasure Island,37.8271637,-122.3682327
6/4/24,10:54,2024,Tuesday,1396050,240349799,Assault,Simple Assault,Battery,08TH ST \ RINGOLD ST,Southern,South of Market,37.77455139,-122.409523
6/2/24,11:55,2024,Sunday,1395537,240345264,Assault,Simple Assault,Battery,FREDERICK ST \ STANYAN ST,Park,Haight Ashbury,37.76637268,-122.4529495
7/18/24,10:07,2024,Thursday,1407923,240448288,Assault,Simple Assault,Battery,LARKIN ST \ SUTTER ST,Northern,Nob Hill,37.78796768,-122.4184647
5/26/24,17:15,2024,Sunday,1393639,240330538,Assault,Simple Assault,Battery,24TH ST \ CYPRESS ST,Mission,Mission,37.75233841,-122.4168243
5/21/24,22:05,2024,Tuesday,1392365,240320153,Assault,Simple Assault,Battery,ASHBURY ST \ HAIGHT ST,Park,Haight Ashbury,37.77000809,-122.4469376
5/27/24,20:57,2024,Monday,1393929,240332835,Assault,Simple Assault,Battery,HYDE ST \ OFARRELL ST,Tenderloin,Tenderloin,37.7853775,-122.4162598
5/29/24,12:30,2024,Wednesday,1394657,240338708,Assault,Simple Assault,Battery,16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
5/21/24,8:17,2024,Tuesday,1392183,240318330,Assault,Simple Assault,Battery,26TH ST \ SAN JOSE AVE,Mission,Mission,37.74885178,-122.4212875
7/14/24,23:20,2024,Sunday,1406762,240439704,Assault,Simple Assault,Battery,LAKESHORE PLZ \ SLOAT BLVD,Taraval,Sunset/Parkside,37.73405075,-122.4904404
7/6/24,5:48,2024,Saturday,1404531,240420678,Assault,Simple Assault,Battery,23RD ST \ DAKOTA ST,Bayview,Potrero Hill,37.75470734,-122.3966751
7/26/24,13:30,2024,Friday,1410068,240467658,Assault,Simple Assault,Battery,CHESTNUT ST \ SCOTT ST,Northern,Marina,37.80018997,-122.4411774
7/13/24,15:45,2024,Saturday,1406518,240437106,Assault,Simple Assault,Battery,LARKIN ST \ POST ST,Central,Tenderloin,37.7870369,-122.4182739
7/12/24,9:10,2024,Friday,1406138,240434362,Assault,Simple Assault,Battery,16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
7/2/24,12:00,2024,Tuesday,1403413,240412170,Assault,Simple Assault,Battery,03RD ST \ DAVIDSON AVE,Bayview,Bayview Hunters Point,37.74352646,-122.3876266
7/9/24,11:30,2024,Tuesday,1405307,240427408,Assault,Simple Assault,Battery,04TH ST \ MISSION ST,Southern,South of Market,37.78447723,-122.4042664
7/16/24,22:30,2024,Tuesday,1407486,240445472,Burglary,Burglary - Other,"Burglary, Safe, Other",24TH ST \ NOE ST,Mission,Noe Valley,37.75143814,-122.4318771
4/27/24,6:50,2024,Saturday,1385784,240264620,Assault,Simple Assault,Battery,26TH ST \ SAN JOSE AVE,Mission,Mission,37.74885178,-122.4212875
5/11/24,3:57,2024,Saturday,1389509,240296093,Assault,Simple Assault,Battery,BROADWAY \ KEARNY ST,Central,North Beach,37.79801559,-122.4054718
