Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
1/5/24,1:40,2024,Friday,1353176,240009551,Assault,Simple Assault,Battery,BUCHANAN ST \ MOULTON ST,Northern,Marina,37.79983902,-122.4326782
2/16/24,16:42,2024,Friday,1365238,240104662,Assault,Simple Assault,Battery,POWELL ST \ SACRAMENTO ST,Central,Nob Hill,37.79297256,-122.4093628
2/9/24,16:10,2024,Friday,1363243,240088561,Assault,Simple Assault,Battery,HYDE ST \ SUTTER ST,Central,Nob Hill,37.78817749,-122.4168243
1/12/24,14:00,2024,Friday,1357550,240041650,Assault,Simple Assault,Battery,MANSELL ST \ VISITACION AVE,Ingleside,McLaren Park,37.71875381,-122.4116745
2/16/24,13:41,2024,Friday,1365198,240104145,Assault,Simple Assault,Battery,04TH ST \ FREELON ST,Southern,South of Market,37.77875137,-122.3970642
3/1/24,11:20,2024,Friday,1369281,240136518,Assault,Simple Assault,Battery,LARKIN ST \ OFARRELL ST,Tenderloin,Tenderloin,37.78516769,-122.4179001
4/26/24,10:45,2024,Friday,1385550,240262721,Assault,Simple Assault,Battery,PIERCE ST \ TURK ST,Northern,Western Addition,37.78007889,-122.4354248
4/26/24,13:30,2024,Friday,1385606,240263177,Assault,Simple Assault,Battery,22ND ST \ MISSION ST,Mission,Mission,37.75543594,-122.4187469
5/10/24,11:30,2024,Friday,1389346,240294536,Assault,Simple Assault,Battery,CAMBRIDGE ST \ WAYLAND ST,Ingleside,McLaren Park,37.7228241,-122.4169159
5/10/24,18:00,2024,Friday,1390559,240305462,Assault,Simple Assault,Battery,19TH ST \ VALENCIA ST,Mission,Mission,37.76010132,-122.4214249
7/26/24,13:30,2024,Friday,1410068,240467658,Assault,Simple Assault,Battery,CHESTNUT ST \ SCOTT ST,Northern,Marina,37.80018997,-122.4411774
7/12/24,9:10,2024,Friday,1406138,240434362,Assault,Simple Assault,Battery,16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
8/16/24,21:35,2024,Friday,1415580,240514594,Assault,Simple Assault,Battery,LEAVENWORTH ST \ OFARRELL ST,Tenderloin,Tenderloin,37.7855835,-122.4146194
7/19/24,19:41,2024,Friday,1408317,240452041,Assault,Simple Assault,Battery,JONES ST \ POST ST,Central,Tenderloin,37.78766251,-122.413353
9/6/24,0:06,2024,Friday,1421634,240560070,Assault,Simple Assault,Battery,GENEVA AVE \ SANTOS ST,Ingleside,,37.70831299,-122.4200821
9/27/24,19:29,2024,Friday,1427696,240609452,Assault,Simple Assault,Battery,MASON ST \ OFARRELL ST,Tenderloin,Tenderloin,37.78620148,-122.4096832
