Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
12/9/24,12:54,2024,Monday,1446372,240762226,Assault,Simple Assault,Battery,24TH AVE \ RIVERA ST,Taraval,Sunset/Parkside,37.74654388,-122.481308
4/8/24,16:15,2024,Monday,1474895,250197845,Assault,Simple Assault,Battery,SILVER AVE \ WATERVILLE ST,Bayview,Bayview Hunters Point,37.73419189,-122.4026642
4/1/24,0:30,2024,Monday,1487037,249001005,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",ARGUELLO BLVD \ CARL ST,Park,Inner Sunset,37.76480865,-122.4577179
1/22/24,17:00,2024,Monday,1358332,240048286,Assault,Simple Assault,Battery,07TH ST \ BRYANT ST,Southern,South of Market,37.77428055,-122.404747
1/15/24,18:21,2024,Monday,1356856,240034865,Assault,Simple Assault,Battery,ALEMANY BLVD \ ROUSSEAU ST,Ingleside,Outer Mission,37.73104095,-122.4295731
1/8/24,3:00,2024,Monday,1369304,240136900,Malicious Mischief,Other,"Phone Calls, Harassing",JONES ST \ VALLEJO ST,Central,Nob Hill,37.79774857,-122.4153824
4/22/24,4:50,2024,Monday,1384257,240251439,Assault,Simple Assault,Battery,LOMBARD ST \ OCTAVIA ST,Northern,Marina,37.80067825,-122.4294739
2/19/24,13:40,2024,Monday,1365948,240110465,Assault,Simple Assault,Battery,LOMBARD ST \ OCTAVIA ST,Northern,Marina,37.80067825,-122.4294739
5/27/24,14:50,2024,Monday,1393872,240332227,Assault,Simple Assault,Battery,CALIFORNIA ST \ HYDE ST,Central,Nob Hill,37.79097366,-122.4173889
5/27/24,20:57,2024,Monday,1393929,240332835,Assault,Simple Assault,Battery,HYDE ST \ OFARRELL ST,Tenderloin,Tenderloin,37.7853775,-122.4162598
9/2/24,17:40,2024,Monday,1420865,240554324,Assault,Simple Assault,Battery,LARKIN ST \ PINE ST,Central,Nob Hill,37.78982925,-122.4188461
10/14/24,20:25,2024,Monday,1432146,240647866,Assault,Simple Assault,Battery,GOUGH ST \ MARKET ST,Southern,Hayes Valley,37.77290726,-122.4221878
10/28/24,16:30,2024,Monday,1435900,240678015,Assault,Simple Assault,Battery,MARKET ST \ RESERVOIR ST,Mission,Castro/Upper Market,37.76877213,-122.4274597
11/18/24,11:45,2024,Monday,1441025,240719540,Assault,Simple Assault,Battery,PINE ST \ WEBSTER ST,Northern,Pacific Heights,37.78815842,-122.4320068
12/2/24,23:15,2024,Monday,1444465,240746935,Assault,Simple Assault,Battery,ELLIS ST \ LEAVENWORTH ST,Tenderloin,Tenderloin,37.78465652,-122.4144287
11/18/24,9:00,2024,Monday,1441222,240720898,Assault,Simple Assault,Battery,BRADY ST \ COLTON ST,Southern,Mission,37.77287292,-122.4204025
12/9/24,15:53,2024,Monday,1446149,240760662,Assault,Simple Assault,Battery,BROADWAY \ STOCKTON ST,Central,Chinatown,37.7976265,-122.4086151
12/9/24,16:16,2024,Monday,1446152,240760753,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, <$50",EDDY ST \ POWELL ST,Central,Tenderloin,37.78469849,-122.4076996
12/9/24,15:45,2024,Monday,1446158,240760731,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",BANCROFT AVE \ KEITH ST,Bayview,Bayview Hunters Point,37.72560501,-122.3927917
