Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
1/6/24,16:55,2024,Saturday,1353832,240013665,Assault,Simple Assault,Battery,OFARRELL ST \ POWELL ST,Central,Tenderloin,37.78641129,-122.4080353
1/27/24,0:50,2024,Saturday,1359590,240058702,Assault,Simple Assault,Battery,16TH ST \ VALENCIA ST,Mission,Mission,37.76491928,-122.4218903
1/27/24,8:27,2024,Saturday,1359656,240059142,Assault,Simple Assault,"Battery, Sexual",POLK ST \ POST ST,Northern,Tenderloin,37.78682709,-122.4199295
3/2/24,21:42,2024,Saturday,1369579,240139346,Assault,Simple Assault,Battery,OFARRELL ST \ VAN NESS AVE,Northern,Tenderloin,37.78475189,-122.421196
3/16/24,18:48,2024,Saturday,1373966,240170287,Assault,Simple Assault,Battery,SUTTER ST \ VAN NESS AVE,Northern,Nob Hill,37.78754807,-122.4217606
4/20/24,17:27,2024,Saturday,1383963,240248533,Assault,Simple Assault,Battery,FELTON ST \ HOLYOKE ST,Bayview,Portola,37.72874451,-122.4095306
5/25/24,12:05,2024,Saturday,1393341,240327927,Assault,Simple Assault,Battery,09TH TI ST \ AVENUE B,Southern,Treasure Island,37.82317352,-122.3749084
7/6/24,5:48,2024,Saturday,1404531,240420678,Assault,Simple Assault,Battery,23RD ST \ DAKOTA ST,Bayview,Potrero Hill,37.75470734,-122.3966751
7/13/24,15:45,2024,Saturday,1406518,240437106,Assault,Simple Assault,Battery,LARKIN ST \ POST ST,Central,Tenderloin,37.7870369,-122.4182739
4/27/24,6:50,2024,Saturday,1385784,240264620,Assault,Simple Assault,Battery,26TH ST \ SAN JOSE AVE,Mission,Mission,37.74885178,-122.4212875
5/11/24,3:57,2024,Saturday,1389509,240296093,Assault,Simple Assault,Battery,BROADWAY \ KEARNY ST,Central,North Beach,37.79801559,-122.4054718
4/6/24,1:18,2024,Saturday,1379933,240216176,Assault,Simple Assault,Battery,18TH ST \ CASTRO ST,Mission,Castro/Upper Market,37.76088715,-122.4349976
6/29/24,19:29,2024,Saturday,1403781,240414972,Assault,Simple Assault,Battery,25TH ST \ CASTRO ST,Mission,Noe Valley,37.74969482,-122.4339294
8/31/24,14:50,2024,Saturday,1420009,240547432,Assault,Simple Assault,Battery,OLIVE ST \ POLK ST,Northern,Tenderloin,37.78450012,-122.4194565
8/24/24,12:45,2024,Saturday,1418011,240530932,Assault,Simple Assault,Battery,16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
8/17/24,0:20,2024,Saturday,1415591,240514851,Assault,Simple Assault,Battery,UNION ST \ WEBSTER ST,Northern,Marina,37.79729843,-122.4338455
10/5/24,6:30,2024,Saturday,1430337,240631950,Assault,Simple Assault,Battery,OCTAVIA ST \ PINE ST,Northern,Pacific Heights,37.78878784,-122.427063
10/5/24,4:30,2024,Saturday,1429592,240626280,Assault,Simple Assault,Battery,GEARY ST \ POLK ST,Northern,Tenderloin,37.78589249,-122.4197388
12/7/24,2:20,2024,Saturday,1446156,240760628,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",CUSHMAN ST \ SACRAMENTO ST,Central,Nob Hill,37.79264832,-122.4119034
12/14/24,0:30,2024,Saturday,1447312,240770213,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",04TH ST \ MINNA ST,Southern,Financial District/South Beach,37.78404617,-122.4037094
12/14/24,1:22,2024,Saturday,1447318,240770207,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",21ST ST \ BRYANT ST,Mission,Mission,37.75759506,-122.4095917
12/14/24,2:15,2024,Saturday,1447323,240770285,Assault,Simple Assault,Battery,HYDE ST \ WASHINGTON ST,Central,Russian Hill,37.7936821,-122.4179382
12/14/24,0:30,2024,Saturday,1447324,240770279,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",LOMBARD ST \ SCOTT ST,Northern,Marina,37.79921341,-122.440979
12/14/24,3:03,2024,Saturday,1447326,240770304,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",HAYES ST \ VAN NESS AVE,Northern,Tenderloin,37.77729797,-122.419693
12/7/24,14:45,2024,Saturday,1447340,246159813,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",DELMAR ST \ WALLER ST,Park,Haight Ashbury,37.7691803,-122.4459229
12/14/24,6:00,2024,Saturday,1447373,240770376,Burglary,Burglary - Other,"Burglary, Non-residential, Forcible Entry",FOLSOM ST \ FREMONT ST,Southern,Financial District/South Beach,37.7879982,-122.3936005
12/14/24,2:35,2024,Saturday,1447374,240770354,Burglary,Burglary - Residential,"Burglary, Residence Under Constr, Forcible Entry",APTOS AVE \ DARIEN WAY,Taraval,West of Twin Peaks,37.73205185,-122.466095
12/14/24,7:53,2024,Saturday,1447378,240770417,Malicious Mischief,Vandalism,"Fire Protection Equipment, Tampering with",MASON ST \ OFARRELL ST,Tenderloin,Tenderloin,37.78620148,-122.4096832
12/14/24,6:00,2024,Saturday,1447391,240770564,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",47TH AVE \ JUDAH ST,Taraval,Sunset/Parkside,37.76037598,-122.5069962
12/14/24,11:39,2024,Saturday,1447392,240770655,Assault,Simple Assault,Battery,GEARY ST \ LEAVENWORTH ST,Tenderloin,Tenderloin,37.7865181,-122.4148102
12/14/24,10:55,2024,Saturday,1447397,240770718,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/14/24,6:00,2024,Saturday,1447399,240770586,Assault,Simple Assault,Battery,JONES ST \ MCALLISTER ST,Tenderloin,Tenderloin,37.78113556,-122.4120255
12/14/24,19:00,2024,Saturday,1448507,246161636,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",04TH ST \ MINNA ST,Southern,Financial District/South Beach,37.78404617,-122.4037094
12/14/24,3:00,2024,Saturday,1448524,246161545,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",34TH AVE \ VICENTE ST,Taraval,Sunset/Parkside,37.73861313,-122.4915237
