Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
12/1/24,0:00,2024,Sunday,1468154,250140656,Assault,Simple Assault,False Imprisonment,07TH ST \ BRYANT ST,Southern,South of Market,37.77428055,-122.404747
3/10/24,22:09,2024,Sunday,1371837,240156782,Assault,Simple Assault,Battery,03RD ST \ TOWNSEND ST,Southern,Mission Bay,37.77885056,-122.3927536
1/21/24,19:00,2024,Sunday,1358067,240046092,Assault,Simple Assault,Battery,EDDY ST \ MASON ST,Tenderloin,Tenderloin,37.78434753,-122.4093094
4/21/24,9:48,2024,Sunday,1385276,240260101,Assault,Simple Assault,Battery,BAKER ST \ BUENA VISTA AVE \ HAIGHT ST,Park,Haight Ashbury,37.77084732,-122.440361
4/21/24,1:55,2024,Sunday,1384022,240249371,Assault,Simple Assault,Battery,BROADWAY \ STOCKTON ST,Central,Chinatown,37.7976265,-122.4086151
4/14/24,15:00,2024,Sunday,1382201,240233835,Assault,Simple Assault,Battery,KEARNY ST \ MERCHANT ST,Central,Chinatown,37.79486084,-122.4048767
5/5/24,6:55,2024,Sunday,1387911,240282575,Assault,Simple Assault,Battery,16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
5/12/24,15:30,2024,Sunday,1389837,240299025,Assault,Simple Assault,Battery,DODGE ST \ TURK ST,Tenderloin,Tenderloin,37.78242111,-122.4169846
6/2/24,11:55,2024,Sunday,1395537,240345264,Assault,Simple Assault,Battery,FREDERICK ST \ STANYAN ST,Park,Haight Ashbury,37.76637268,-122.4529495
5/26/24,17:15,2024,Sunday,1393639,240330538,Assault,Simple Assault,Battery,24TH ST \ CYPRESS ST,Mission,Mission,37.75233841,-122.4168243
7/14/24,23:20,2024,Sunday,1406762,240439704,Assault,Simple Assault,Battery,LAKESHORE PLZ \ SLOAT BLVD,Taraval,Sunset/Parkside,37.73405075,-122.4904404
8/18/24,15:40,2024,Sunday,1416110,240517667,Assault,Simple Assault,Battery,09TH AVE \ IRVING ST,Taraval,Inner Sunset,37.76403809,-122.4663086
