Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
12/26/24,21:00,2024,Thursday,1458390,250058877,Assault,Simple Assault,Battery,26TH ST \ LILAC ST,Mission,Mission,37.74907684,-122.4175644
1/25/24,9:57,2024,Thursday,1359082,240054158,Assault,Simple Assault,Battery,EDDY ST \ JONES ST,Tenderloin,Tenderloin,37.78393173,-122.4125977
3/14/24,20:10,2024,Thursday,1373324,240165880,Assault,Simple Assault,Battery,BAY ST \ MASON ST,Central,North Beach,37.80561829,-122.4136047
3/7/24,0:05,2024,Thursday,1370606,240148400,Assault,Simple Assault,Battery,24TH AVE \ GEARY BLVD,Richmond,Outer Richmond,37.78014374,-122.4836655
3/7/24,12:30,2024,Thursday,1370767,240149317,Assault,Simple Assault,Battery,10TH ST \ HARRISON ST,Southern,South of Market,37.77157974,-122.4112778
4/4/24,7:44,2024,Thursday,1379483,240211819,Assault,Simple Assault,Battery,08TH AVE \ IRVING ST,Taraval,Inner Sunset,37.76408386,-122.4652481
5/30/24,15:30,2024,Thursday,1394822,240339386,Assault,Simple Assault,Battery,FALMOUTH ST \ FOLSOM ST,Southern,South of Market,37.77944183,-122.4044342
7/18/24,10:07,2024,Thursday,1407923,240448288,Assault,Simple Assault,Battery,LARKIN ST \ SUTTER ST,Northern,Nob Hill,37.78796768,-122.4184647
7/18/24,6:00,2024,Thursday,1407791,240447860,Assault,Simple Assault,Battery,24TH ST \ CYPRESS ST,Mission,Mission,37.75233841,-122.4168243
9/12/24,22:40,2024,Thursday,1423655,240575665,Assault,Simple Assault,Battery,20TH ST \ FLORIDA ST,Mission,Mission,37.75913239,-122.410759
7/25/24,16:22,2024,Thursday,1413100,240464466,Assault,Simple Assault,Battery,18TH ST \ CHURCH ST,Mission,Castro/Upper Market,37.76128769,-122.4283524
8/8/24,14:36,2024,Thursday,1413704,240495609,Assault,Simple Assault,Battery,MARKET ST \ ROSE ST,Southern,Hayes Valley,37.77377319,-122.4210892
10/24/24,17:59,2024,Thursday,1435009,240670102,Assault,Simple Assault,Battery,GODEUS ST \ MISSION ST,Ingleside,Bernal Heights,37.74282074,-122.4216766
