Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
1/9/24,20:20,2024,Tuesday,1354828,240020046,Assault,Simple Assault,Battery,GOLDEN GATE AVE \ LAGUNA ST,Northern,Western Addition,37.78019333,-122.4270172
1/16/24,3:15,2024,Tuesday,1356528,240033889,Assault,Simple Assault,False Imprisonment,BAY ST \ HYDE ST,Central,Russian Hill,37.8047905,-122.4201813
3/26/24,16:00,2024,Tuesday,1376922,240193405,Assault,Simple Assault,False Imprisonment,18TH ST \ GUERRERO ST,Mission,Mission,37.76156616,-122.4237976
2/6/24,20:45,2024,Tuesday,1362379,240081894,Assault,Simple Assault,Battery,HERMANN ST \ LAGUNA ST,Park,Hayes Valley,37.77087021,-122.4251328
3/19/24,3:03,2024,Tuesday,1374534,240175209,Assault,Simple Assault,Battery,12TH ST \ ISIS ST,Southern,Mission,37.77061081,-122.4143448
3/12/24,2:15,2024,Tuesday,1374648,240175895,Assault,Simple Assault,False Imprisonment,LARKIN ST \ POST ST,Central,Tenderloin,37.7870369,-122.4182739
3/5/24,19:00,2024,Tuesday,1370712,240149066,Assault,Simple Assault,Battery,22ND ST \ POTRERO AVE,Mission,Mission,37.75683212,-122.4067001
3/12/24,16:00,2024,Tuesday,1372625,240160692,Assault,Simple Assault,Battery,BAY SHORE BLVD \ MARENGO ST,Bayview,Bayview Hunters Point,37.73845673,-122.4069138
6/11/24,8:00,2024,Tuesday,1397750,240365228,Assault,Simple Assault,Battery,OCTAVIA ST \ SUTTER ST,Northern,Japantown,37.78692627,-122.4266663
5/28/24,21:26,2024,Tuesday,1394262,240335475,Assault,Simple Assault,Battery,05TH ST \ BLUXOME ST,Southern,Mission Bay,37.77593994,-122.3979721
6/4/24,10:54,2024,Tuesday,1396050,240349799,Assault,Simple Assault,Battery,08TH ST \ RINGOLD ST,Southern,South of Market,37.77455139,-122.409523
5/21/24,22:05,2024,Tuesday,1392365,240320153,Assault,Simple Assault,Battery,ASHBURY ST \ HAIGHT ST,Park,Haight Ashbury,37.77000809,-122.4469376
5/21/24,8:17,2024,Tuesday,1392183,240318330,Assault,Simple Assault,Battery,26TH ST \ SAN JOSE AVE,Mission,Mission,37.74885178,-122.4212875
7/2/24,12:00,2024,Tuesday,1403413,240412170,Assault,Simple Assault,Battery,03RD ST \ DAVIDSON AVE,Bayview,Bayview Hunters Point,37.74352646,-122.3876266
7/9/24,11:30,2024,Tuesday,1405307,240427408,Assault,Simple Assault,Battery,04TH ST \ MISSION ST,Southern,South of Market,37.78447723,-122.4042664
7/16/24,22:30,2024,Tuesday,1407486,240445472,Burglary,Burglary - Other,"Burglary, Safe, Other",24TH ST \ NOE ST,Mission,Noe Valley,37.75143814,-122.4318771
8/6/24,16:40,2024,Tuesday,1412939,240491390,Assault,Simple Assault,Battery,16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
8/13/24,17:30,2024,Tuesday,1414773,240507395,Assault,Simple Assault,Battery,EDDY ST \ TAYLOR ST,Tenderloin,Tenderloin,37.78414154,-122.4109497
8/20/24,17:59,2024,Tuesday,1416882,240522638,Assault,Simple Assault,Battery,PIERCE ST \ SUTTER ST,Northern,Japantown,37.78566742,-122.436554
12/3/24,11:00,2024,Tuesday,1444594,240747648,Assault,Simple Assault,Battery,LAGUNA ST \ MARINA BLVD,Northern,Marina,37.80519867,-122.4320908
11/5/24,2:00,2024,Tuesday,1446159,240759950,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Forcible Entry",ELLIS ST \ LEAVENWORTH ST,Tenderloin,Tenderloin,37.78465652,-122.4144287
12/10/24,15:00,2024,Tuesday,1448500,246161498,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",46TH AVE \ LINCOLN WAY,Taraval,Sunset/Parkside,37.76416779,-122.5061951
12/10/24,23:30,2024,Tuesday,1447322,240770172,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen & Recovered",ESSEX ST \ LANSING ST,Southern,Financial District/South Beach,37.78555298,-122.3946075
12/10/24,12:00,2024,Tuesday,1447346,246159829,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",ASHBURY ST \ WALLER ST,Park,Haight Ashbury,37.76907349,-122.4467468
12/10/24,0:00,2024,Tuesday,1447363,246159625,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",COLLINS ST \ EUCLID AVE,Richmond,Presidio Heights,37.78448105,-122.4501343
12/10/24,10:30,2024,Tuesday,1447366,246159829,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",ASHBURY ST \ WALLER ST,Park,Haight Ashbury,37.76907349,-122.4467468
12/17/24,6:10,2024,Tuesday,1448506,246161523,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",GARCES DR \ GONZALEZ DR,Taraval,Lakeshore,37.71591187,-122.4784317
11/19/24,0:00,2024,Tuesday,1448509,246161749,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",CHASE CT \ COLUSA PL,Southern,Mission,37.77306366,-122.4196091
12/17/24,0:10,2024,Tuesday,1448512,246161476,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",ENTERPRISE ST \ FOLSOM ST,Mission,Mission,37.76470566,-122.4152527
12/17/24,14:15,2024,Tuesday,1448514,246161551,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",CAMBON DR \ CARDENAS AVE,Taraval,Lakeshore,37.7190361,-122.4748611
