Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
12/18/24,11:39,2024,Wednesday,1448348,240778778,Assault,Simple Assault,Battery,04TH ST \ CHANNEL ST,Southern,Mission Bay,37.77432632,-122.3916321
2/14/24,18:51,2024,Wednesday,1364759,240100234,Assault,Simple Assault,Battery,SUTTER ST \ TAYLOR ST,Central,Nob Hill,37.78880692,-122.4118881
1/17/24,21:40,2024,Wednesday,1357074,240037988,Assault,Simple Assault,Battery,04TH ST \ KING ST,Southern,Mission Bay,37.77633286,-122.3940353
2/21/24,14:44,2024,Wednesday,1366618,240115001,Assault,Simple Assault,Battery,23RD ST \ MISSION ST,Mission,Mission,37.75383759,-122.4185944
4/24/24,11:16,2024,Wednesday,1384917,240257067,Assault,Simple Assault,Battery,FILLMORE ST \ HERMANN ST,Park,Hayes Valley,37.7702446,-122.4300766
4/24/24,19:00,2024,Wednesday,1385116,240259091,Assault,Simple Assault,Battery,16TH ST \ POTRERO AVE,Mission,Mission,37.7657814,-122.4075317
4/24/24,14:20,2024,Wednesday,1385027,240257976,Assault,Simple Assault,Battery,EUCALYPTUS DR \ FOREST VIEW DR,Taraval,Lakeshore,37.7310791,-122.4835434
6/12/24,16:15,2024,Wednesday,1398175,240368501,Assault,Simple Assault,Battery,10TH TI ST \ AVENUE M,Southern,Treasure Island,37.8271637,-122.3682327
5/29/24,12:30,2024,Wednesday,1394657,240338708,Assault,Simple Assault,Battery,16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
7/10/24,8:40,2024,Wednesday,1405664,240429288,Assault,Simple Assault,Battery,04TH ST \ KING ST,Southern,Mission Bay,37.77633286,-122.3940353
10/9/24,7:55,2024,Wednesday,1430722,240634998,Assault,Simple Assault,Battery,16TH ST \ WIESE ST,Mission,Mission,37.7650032,-122.4204788
11/13/24,13:00,2024,Wednesday,1440041,240710877,Assault,Simple Assault,Battery,OFARRELL ST \ SCOTT ST,Northern,Western Addition,37.78266144,-122.4376297
12/18/24,17:13,2024,Wednesday,1448496,240780121,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",CAMPUS WAY \ OWENS ST,Southern,Mission Bay,37.76760101,-122.3938065
12/18/24,11:10,2024,Wednesday,1448504,246161846,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",UNNAMED 083 \ UNNAMED 088,Taraval,Lakeshore,37.71708298,-122.473793
12/4/24,9:36,2024,Wednesday,1446190,240736566,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/4/24,9:36,2024,Wednesday,1446190,240736566,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/4/24,9:36,2024,Wednesday,1446196,240737081,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/4/24,9:36,2024,Wednesday,1446196,240737081,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/4/24,9:36,2024,Wednesday,1446206,240741929,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/4/24,9:36,2024,Wednesday,1446206,240741929,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/4/24,9:36,2024,Wednesday,1446208,240745664,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/4/24,9:36,2024,Wednesday,1446208,240745664,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",CASTRO ST \ JERSEY ST,Mission,Noe Valley,37.75049591,-122.4340057
12/11/24,18:00,2024,Wednesday,1447331,246159681,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",16TH ST \ MARKET ST \ NOE ST,Mission,Castro/Upper Market,37.76419449,-122.433075
12/11/24,13:00,2024,Wednesday,1447334,246159863,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",LEVANT ST \ LOWER TER,Park,Castro/Upper Market,37.76325226,-122.4419861
